Time [min],HTF Temperature [degC]
0,31.963048498845254
5.228215767634865,35.427251732101595
9.709543568464738,39.81524249422631
14.937759336099575,52.28637413394917
20.16597510373444,57.482678983833694
25.02074688796681,60.25404157043879
29.875518672199178,61.755196304849875
35.10373443983403,63.02540415704385
39.95850622406638,64.06466512702076
45.18672199170126,64.87297921478057
50.04149377593362,65.33487297921475
54.896265560166,65.56581986143185
60.12448132780082,66.25866050808312
64.97925311203318,66.60508083140876
69.83402489626556,66.72055427251729
75.06224066390041,66.83602771362585
80.29045643153529,66.83602771362585
85.14522821576764,66.95150115473439
90,67.06697459584294
94.85477178423238,67.18244803695147
100.0829875518672,67.29792147806003
104.93775933609959,67.41339491916857
109.79253112033194,67.52886836027712
115.02074688796682,67.64434180138566
120.24896265560167,67.87528868360275
124.73029045643153,68.10623556581984
129.9585062240664,68.45265588914548
135.18672199170123,68.7990762124711
140.04149377593362,69.03002309468819
144.89626556016597,69.26096997690529
150.12448132780082,69.49191685912238
154.97925311203318,70.0692840646651
159.83402489626556,70.0692840646651
