Time [min],PCM Temperature [degC]
0,32.11442786069651
5.217391304347842,39.07960199004974
9.689440993788821,45.42288557213931
14.534161490683232,48.781094527363194
19.75155279503106,51.64179104477613
24.968944099378888,54.378109452736325
29.8136645962733,56.11940298507463
35.031055900621126,57.61194029850746
39.87577639751554,58.35820895522389
44.72049689440993,59.35323383084577
49.937888198757776,59.97512437810947
54.78260869565216,60.223880597014926
59.6273291925466,60.34825870646766
64.84472049689441,60.597014925373145
69.68944099378882,60.721393034825866
74.90683229813666,60.97014925373135
79.75155279503105,62.33830845771145
84.96894409937889,64.07960199004975
89.8136645962733,65.69651741293534
94.65838509316768,67.68656716417911
99.87577639751552,68.30845771144278
104.72049689440993,68.80597014925374
109.93788819875778,69.17910447761194
114.78260869565216,69.42786069651741
119.99999999999997,69.55223880597015
124.84472049689441,69.6766169154229
129.6894409937888,69.80099502487562
134.90683229813664,69.92537313432837
139.75155279503105,70.04975124378109
144.59627329192546,70.04975124378109
149.81366459627327,70.04975124378109
155.0310559006211,70.04975124378109
159.87577639751552,70.04975124378109
