Time [min],PCM Temperature [degC]
0,31.86567164179104
4.844720496894411,33.10945273631842
9.689440993788821,36.46766169154229
14.90683229813665,42.437810945273625
19.75155279503106,46.04477611940298
24.968944099378888,48.781094527363194
29.8136645962733,50.8955223880597
34.65838509316771,53.258706467661696
39.87577639751554,54.75124378109453
44.72049689440993,56.243781094527364
49.937888198757776,57.23880597014926
54.78260869565216,57.86069651741293
60,58.85572139303484
64.84472049689441,59.35323383084577
69.68944099378882,59.97512437810947
74.90683229813666,60.223880597014926
79.75155279503105,60.472636815920396
84.59627329192548,60.472636815920396
89.8136645962733,60.721393034825866
95.03105590062111,60.97014925373135
99.87577639751552,61.09452736318407
104.72049689440993,61.46766169154229
109.93788819875778,61.840796019900495
114.78260869565216,63.33333333333333
119.6273291925466,64.82587064676618
124.84472049689441,67.06467661691543
129.6894409937888,67.93532338308458
134.90683229813664,68.80597014925374
139.75155279503105,69.42786069651741
144.96894409937886,69.80099502487562
149.81366459627327,69.92537313432837
154.65838509316768,69.92537313432837
159.87577639751552,70.04975124378109
