Time [min],PCM Temperature [degC]
0,31.990049751243788
4.844720496894411,34.477611940298516
9.689440993788821,40.32338308457712
14.90683229813665,44.92537313432835
19.75155279503106,48.159203980099505
24.59627329192547,51.14427860696517
29.8136645962733,53.38308457711443
34.65838509316771,55.373134328358205
39.87577639751554,56.86567164179104
44.72049689440993,58.10945273631842
49.937888198757776,58.73134328358209
54.78260869565216,59.228855721393046
60,59.97512437810947
64.84472049689441,60.223880597014926
69.68944099378882,60.34825870646766
74.90683229813666,60.597014925373145
79.75155279503105,60.721393034825866
84.59627329192548,60.97014925373135
89.8136645962733,62.33830845771145
94.65838509316768,63.45771144278608
99.87577639751552,64.82587064676618
104.72049689440993,66.94029850746269
109.93788819875778,68.05970149253731
114.78260869565216,68.68159203980099
119.6273291925466,69.17910447761194
124.84472049689441,69.42786069651741
129.6894409937888,69.42786069651741
134.90683229813664,69.6766169154229
139.75155279503105,69.92537313432837
144.59627329192546,69.92537313432837
149.81366459627327,69.92537313432837
154.65838509316768,69.92537313432837
159.87577639751552,70.04975124378109
