Time [min],HTF Temperature [degC]
0,31.963048498845254
4.854771784232369,36.23556581986141
10.08298755186722,50.669745958429544
14.937759336099575,58.5219399538106
19.792531120331944,60.94688221709005
25.02074688796681,62.79445727482677
29.875518672199178,63.602771362586594
35.10373443983403,64.87297921478057
40.33195020746888,65.45034642032331
45.18672199170126,66.02771362586603
50.04149377593362,66.25866050808312
54.896265560166,66.48960739030022
60.12448132780082,67.06697459584294
64.97925311203318,67.18244803695147
70.20746887966806,67.18244803695147
75.06224066390041,67.29792147806003
79.9170124481328,67.41339491916857
85.14522821576764,67.41339491916857
90,67.52886836027712
94.85477178423238,67.64434180138566
100.0829875518672,67.64434180138566
104.93775933609959,67.64434180138566
110.16597510373444,67.9907621247113
115.02074688796682,68.10623556581984
119.87551867219918,68.33718244803694
125.10373443983403,68.68360277136257
129.9585062240664,69.14549653579675
135.18672199170123,69.37644341801385
140.04149377593362,69.72286374133947
145.26970954356847,70.0692840646651
150.49792531120332,70.0692840646651
155.3526970954357,70.0692840646651
159.83402489626556,70.0692840646651
