Time [min],HTF Temperature [degC]
0,32.07852193995379
9.709543568464738,61.17782909930713
14.937759336099575,63.48729792147803
19.792531120331944,64.98845265588913
25.02074688796681,65.45034642032331
29.875518672199178,66.37413394919166
35.10373443983403,67.18244803695147
39.95850622406638,67.64434180138566
44.81327800829877,67.7598152424942
50.04149377593362,67.87528868360275
54.896265560166,67.9907621247113
60.12448132780082,67.9907621247113
64.97925311203318,67.9907621247113
70.20746887966806,68.22170900692838
75.06224066390041,68.22170900692838
80.29045643153529,68.22170900692838
85.14522821576764,68.33718244803694
90,68.45265588914548
94.85477178423238,68.45265588914548
100.0829875518672,68.68360277136257
104.93775933609959,68.7990762124711
109.79253112033194,68.7990762124711
115.02074688796682,69.03002309468819
119.87551867219918,69.49191685912238
125.10373443983403,69.72286374133947
129.9585062240664,69.83833718244802
135.18672199170123,69.95381062355656
140.04149377593362,70.0692840646651
144.89626556016597,70.0692840646651
150.12448132780082,70.0692840646651
154.97925311203318,70.0692840646651
160.20746887966808,70.0692840646651
