Time [min],HTF Temperature [degC]
0,31.963048498845254
4.854771784232369,62.101616628175506
10.08298755186722,64.6420323325635
14.937759336099575,65.91224018475748
20.16597510373444,66.60508083140876
25.02074688796681,67.06697459584294
30.24896265560166,67.87528868360275
35.10373443983403,68.10623556581984
39.95850622406638,68.22170900692838
45.18672199170126,68.22170900692838
50.04149377593362,68.33718244803694
55.26970954356847,68.33718244803694
60.12448132780082,68.33718244803694
64.97925311203318,68.33718244803694
69.83402489626556,68.56812933025402
75.06224066390041,68.56812933025402
79.9170124481328,68.56812933025402
85.14522821576764,68.56812933025402
90,68.68360277136257
94.85477178423238,68.7990762124711
100.0829875518672,68.91454965357966
104.93775933609959,69.26096997690529
110.16597510373444,69.37644341801385
115.02074688796682,69.60739030023092
119.87551867219918,69.83833718244802
125.10373443983403,70.0692840646651
129.58506224066392,70.0692840646651
135.18672199170123,69.95381062355656
140.04149377593362,70.0692840646651
145.26970954356847,70.0692840646651
150.12448132780082,70.0692840646651
154.97925311203318,70.0692840646651
160.20746887966808,70.0692840646651
